Site,Date Time,Temperature (ºC),Wet Bulb Temp (ºC),Relative Humidity (%),Barometric Pressure (mb),Altitude (m),Station Pressure (mb),Wind Speed (km/h),Heat Index (ºC),Dew Point (ºC),Density Altitude (m),Wind Chill (ºC),Data Type
PB1 | AK2023_1-4_0m,7/20/23 14:36,18,13.1,58.1,1014,-8,1014,5,16.6,9.6,146,18,point
PB1 | AK2023_1-1_2m,7/20/23 12:26,15.8,12.6,69.7,1014.7,-13,1014.6,4.3,15.1,10.3,64,15.8,point
PB1 | AK2023_1-2_10m,7/20/23 12:27,15.9,12.8,69.9,1015,-16,1015,4.3,15.2,10.5,66,15.9,point
DH1 | AK2023_2-4_0m,7/20/23 13:10,22.6,18.8,69.5,1011.7,10,1011.8,0,23,16.8,451,23.6,point
DH1 | AK2023_2-1_5m,7/20/23 12:56,19.8,15.6,64.9,1010.5,19,1010.6,2,19.3,13,229,19,point
DH1 | AK2023_2-2_10m,7/20/23 12:57,19,16,73.5,1011.2,15,1011.1,3.4,18.7,14.2,311,21.2,point
DH1 | AK2023_2-3_20m,7/20/23 13:02,21.2,17.2,67.6,1011,16,1011,0,21.3,15,360,22.6,point
DH1 | AK2023_2-5_30m,7/21/23 10:58,23.7,18.7,62.5,1006.2,55,1006.3,7.6,23.7,16.1,413,22.8,point
DH1 | AK2023_2-6_40m,7/21/23 10:59,22.9,17.4,58.8,1006.5,54,1006.5,5.5,22.7,14.4,,,point
DH2 | AK2023_3-4_0m,7/20/23 14:01,21.2,15.8,57.8,1009.9,26,1009.9,4.6,20.9,12.5,311,21.1,point
DH2 | AK2023_3-1_5m,7/20/23 13:51,23,16.8,54,1009.9,26,1009.9,1.4,22.6,13.2,377,22.9,point
DH2 | AK2023_3-2_10m,7/20/23 13:52,23.2,19.7,72.8,1009.7,26,1009.8,0,23.8,18.1,409,23.2,point
DH2 | AK2023_3-3_20m,7/20/23 13:56,20.5,15.6,60.3,1009.9,25,1009.9,3.4,20.1,12.6,287,20.5,point
DH2 | AK2023_3-5_30m,7/21/23 10:15,20,16.2,68.1,1006.2,56,1006.2,6,19.6,13.9,312,19.9,point
DH2 | AK2023_3-6_40m,7/21/23 10:13,20,16.1,67.6,1004.4,71,1004.4,7.6,19.6,13.8,331,19.9,point
DH2 | AK2023_3-7_50m,7/21/23 10:13,20.1,16.1,67,1005.9,59,1005.9,7.1,19.7,13.8,318,20,point
DH2 | AK2023_3-8_60m,7/21/23 10:12,20.4,16.1,64.4,1005.7,60,1005.7,9.6,20.1,13.4,330,20.4,point
DH3 | AK2023_4-4_0m,7/20/23 14:11,21.4,15.1,51.8,1007.2,47,1007.3,0,20.9,11.1,341,21.3,point
DH3 | AK2023_4-1_5m,7/20/23 13:29,21.7,17.4,65.5,1008,41,1008,3.7,21.9,15,360,21.7,point
DH3 | AK2023_4-2_10m,7/20/23 13:31,20.7,16.2,63.4,1007.7,44,1007.8,2.3,20.4,13.5,318,20.6,point
DH3 | AK2023_4-3_20m,7/21/23 9:25,21.1,16.4,62.8,1003.7,76,1003.8,2.1,20.9,13.7,375,21,point
DH3 | AK2023_4-5_30m,7/21/23 9:30,20.7,16.1,62.9,1004,74,1004.1,5.7,20.3,13.4,357,20.6,point